2|1|2|3|2|5|2|1|3|5|0|130|
5|4|5|6|4|2|1|3|0|2|0|62|
5|4|6|7|5|1|2|3|1|1|0|20|
3|2|4|5|3|3|1|1|1|3|0|138|
0|1|3|4|4|5|4|2|4|6|0|194|
4|3|4|5|2|4|1|2|2|3|0|171|
3|2|2|3|1|6|2|2|3|5|0|0|
3|2|4|5|3|3|1|1|1|3|0|131|
4|3|4|5|2|4|1|2|2|3|0|198|
6|4|6|7|5|3|2|4|1|1|0|60|
6|5|6|6|4|4|2|4|2|3|0|120|
6|4|5|6|3|5|2|4|2|3|0|8|
4|3|3|4|1|5|2|2|3|4|0|46|
6|5|4|4|2|8|5|5|5|7|0|67|
3|2|2|3|1|6|2|2|3|5|0|145|
2|1|2|3|2|5|2|1|3|5|0|79|
1|0|3|4|3|4|3|1|3|5|0|116|
6|5|7|8|6|1|3|5|2|1|0|37|
175|63|123|39|43|33|127|81|40|35|963|
